price,year,odometer,title_status,transmission,drive,state
7800,1997,212234,clean,automatic,4wd,tn
8950,2003,140186,clean,automatic,rwd,or
14997,2004,166089,clean,automatic,4wd,or
11495,2003,99250,clean,automatic,4wd,or
5500,2004,126400,salvage,automatic,rwd,il
7000,2002,128200,salvage,automatic,4wd,or
1600,2000,180,salvage,automatic,fwd,fl
7995,2001,139520,clean,automatic,rwd,tx
5900,2004,92000,clean,manual,rwd,nm
6995,2003,264849,clean,automatic,4wd,co
12499,2004,129318,clean,automatic,4wd,co
8999,2003,150200,clean,automatic,4wd,pa
7000,2003,251500,clean,automatic,4wd,co
3450,1989,99300,clean,automatic,rwd,tx
5950,1999,274471,clean,manual,4wd,tx
9590,1999,41398,clean,automatic,rwd,co
4900,2001,100500,clean,automatic,rwd,co
6995,2003,264849,clean,automatic,4wd,co
12499,2004,129318,clean,automatic,4wd,co
10000,1998,132500,clean,manual,4wd,mt
7599,2003,247416,clean,automatic,4wd,co
8499,2004,126696,clean,manual,rwd,co
5000,2000,195000,clean,automatic,4wd,co
5675,2004,247000,clean,automatic,4wd,wv
6500,1995,206000,clean,manual,4wd,va
4000,1999,236000,clean,manual,4wd,co
10000,1998,132500,clean,manual,4wd,mt
6250,2001,280044,clean,automatic,4wd,mt
7400,2002,232765,clean,automatic,fwd,nc
4150,2001,254000,clean,automatic,fwd,tx
9981,2001,200596,clean,automatic,rwd,ca
9500,2004,200000,rebuilt,automatic,4wd,tx
8999,1997,224958,clean,manual,4wd,wy
6450,2004,182300,clean,manual,4wd,ri
7888,1999,192853,clean,automatic,fwd,ca
6000,2001,282404,clean,manual,4wd,ca
6000,2001,282404,clean,manual,4wd,ca
7800,2001,188302,clean,automatic,rwd,al
4000,2000,240000,clean,manual,4wd,dc
4000,2001,312000,clean,automatic,rwd,tx
7995,2001,139520,clean,automatic,rwd,tx
8952,2003,129528,clean,automatic,rwd,tx
6000,2001,127,clean,automatic,4wd,pa
8995,1997,126370,clean,manual,4wd,co
6700,2001,191000,clean,automatic,rwd,az
7000,2004,190000,salvage,automatic,rwd,sc
9500,2004,200000,salvage,automatic,4wd,tx
4200,1998,302000,clean,manual,4wd,ky
