price,year,odometer,title_status,transmission,drive,state
7500,2005,160000,clean,automatic,rwd,il
14500,2013,82000,salvage,automatic,4wd,nj
20800,2015,78454,rebuilt,automatic,4wd,co
24500,2014,113000,clean,automatic,4wd,nc
15000,2009,221000,clean,automatic,4wd,nc
14685,2011,145671,clean,automatic,4wd,ny
11995,2006,132930,clean,automatic,4wd,ma
11795,2015,111048,clean,automatic,rwd,ma
25800,2015,49900,clean,automatic,4wd,co
11995,2006,132930,clean,automatic,4wd,ma
14685,2011,145671,clean,automatic,4wd,ny
11995,2006,132930,clean,automatic,4wd,ma
10900,2012,132000,clean,manual,4wd,ma
12500,2005,192000,clean,manual,4wd,or
29000,2015,64000,lien,automatic,4wd,nc
11995,2005,167523,clean,manual,4wd,va
20800,2010,97351,clean,automatic,4wd,ia
24900,2014,113000,clean,automatic,4wd,va
26900,2015,59300,clean,automatic,4wd,fl
11995,2006,132930,clean,automatic,4wd,ma
26900,2015,53390,clean,automatic,4wd,ma
21750,2014,99246,clean,automatic,4wd,ia
25990,2015,39725,clean,automatic,4wd,ma
24320,2015,50616,clean,automatic,4wd,tn
7988,2007,281028,clean,other,4wd,ma
17500,2014,99000,clean,automatic,rwd,sc
7995,2006,73995,clean,manual,rwd,va
14000,2006,125886,clean,manual,4wd,wa
22995,2014,80989,clean,automatic,4wd,wa
27900,2015,46032,clean,automatic,4wd,tn
21900,2009,99075,clean,automatic,4wd,or
19997,2006,106403,clean,automatic,4wd,or
26997,2013,90394,clean,automatic,4wd,or
21997,2015,151359,clean,manual,4wd,or
28997,2014,86837,clean,automatic,4wd,or
25900,2015,74379,clean,automatic,4wd,ms
21400,2015,95750,clean,manual,4wd,or
27475,2015,54300,clean,automatic,4wd,mt
19995,2015,75833,clean,automatic,rwd,or
7800,2008,151000,clean,manual,rwd,or
24998,2014,56000,clean,automatic,4wd,or
24500,2014,113000,clean,automatic,4wd,wv
24500,2014,113000,clean,automatic,4wd,wv
16709,2011,101599,clean,automatic,rwd,tx
8995,2006,189295,clean,automatic,rwd,tx
14300,2012,79075,clean,manual,rwd,tx
25900,2015,74379,clean,automatic,4wd,ms
14400,2005,79556,clean,automatic,4wd,ny
10955,2013,117835,clean,automatic,rwd,ky
11962,2013,93831,clean,automatic,rwd,ky
12999,2011,126378,clean,automatic,rwd,co
10997,2015,144650,clean,automatic,rwd,mi
18999,2010,103631,clean,automatic,4wd,co
20800,2010,97351,clean,automatic,4wd,ia
20594,2012,108647,clean,automatic,4wd,co
17950,2013,132808,clean,automatic,4wd,pa
8900,2005,120809,clean,manual,4wd,pa
11495,2009,213911,clean,manual,4wd,co
26998,2014,34474,clean,automatic,4wd,co
24500,2014,113000,clean,automatic,4wd,nc
10300,2006,175889,clean,automatic,4wd,co
22900,2013,151468,clean,automatic,4wd,ca
10999,2006,135889,clean,automatic,rwd,co
22991,2015,12230,clean,automatic,4wd,co
23994,2013,85753,clean,automatic,4wd,co
15999,2008,193982,clean,automatic,4wd,co
17495,2011,165483,clean,automatic,4wd,co
23299,2014,74702,clean,automatic,4wd,co
25150,2015,53350,clean,automatic,4wd,co
7900,2008,111000,clean,automatic,rwd,ny
25500,2015,49700,clean,automatic,4wd,mo
21500,2014,144000,lien,manual,4wd,co
14997,2011,180442,clean,automatic,4wd,ny
14997,2011,180442,clean,automatic,4wd,ny
14400,2005,79556,clean,automatic,4wd,ny
15985,2010,131887,clean,automatic,4wd,wi
4000,2005,111000,clean,automatic,4wd,ny
25997,2015,71132,clean,automatic,4wd,tx
12200,2015,100348,clean,automatic,rwd,wi
15985,2010,131887,clean,automatic,4wd,wi
10995,2006,96880,clean,automatic,rwd,ca
11495,2009,213911,clean,manual,4wd,co
15495,2008,195339,clean,manual,4wd,co
