price,year,odometer,title_status,transmission,drive,state
7500,2005,160000,clean,automatic,rwd,il
24500,2014,113000,clean,automatic,4wd,nc
15000,2009,221000,clean,automatic,4wd,nc
14685,2011,145671,clean,automatic,4wd,ny
11995,2006,132930,clean,automatic,4wd,ma
11795,2015,111048,clean,automatic,rwd,ma
25800,2015,49900,clean,automatic,4wd,co
11995,2006,132930,clean,automatic,4wd,ma
14685,2011,145671,clean,automatic,4wd,ny
11995,2006,132930,clean,automatic,4wd,ma
10900,2012,132000,clean,manual,4wd,ma
12500,2005,192000,clean,manual,4wd,or
29000,2015,64000,lien,automatic,4wd,nc
32000,2019,33000,lien,manual,4wd,or
11995,2005,167523,clean,manual,4wd,va
20800,2010,97351,clean,automatic,4wd,ia
24900,2014,113000,clean,automatic,4wd,va
26900,2015,59300,clean,automatic,4wd,fl
11995,2006,132930,clean,automatic,4wd,ma
7800,1997,212234,clean,automatic,4wd,tn
29990,2019,2324,clean,automatic,rwd,or
22495,2017,17776,clean,automatic,rwd,tn
26900,2015,53390,clean,automatic,4wd,ma
21750,2014,99246,clean,automatic,4wd,ia
25990,2015,39725,clean,automatic,4wd,ma
24320,2015,50616,clean,automatic,4wd,tn
7988,2007,281028,clean,other,4wd,ma
27952,2017,58679,clean,automatic,4wd,tn
29952,2016,48636,clean,automatic,4wd,tn
17500,2014,99000,clean,automatic,rwd,sc
7995,2006,73995,clean,manual,rwd,va
26795,2017,49407,clean,automatic,4wd,va
33999,2017,34835,clean,automatic,4wd,wa
8950,2003,140186,clean,automatic,rwd,or
32745,2018,13737,clean,automatic,4wd,tn
20800,2015,78454,rebuilt,automatic,4wd,co
34950,2016,20810,clean,automatic,4wd,wa
29999,2016,60095,clean,automatic,4wd,wa
14000,2006,125886,clean,manual,4wd,wa
33450,2017,30891,clean,automatic,4wd,wa
32500,2017,7422,lien,automatic,4wd,wa
22995,2014,80989,clean,automatic,4wd,wa
27900,2017,70665,clean,automatic,4wd,ia
27900,2015,46032,clean,automatic,4wd,tn
21900,2009,99075,clean,automatic,4wd,or
19997,2006,106403,clean,automatic,4wd,or
39997,2019,11941,clean,automatic,4wd,or
26997,2013,90394,clean,automatic,4wd,or
14997,2004,166089,clean,automatic,4wd,or
11495,2003,99250,clean,automatic,4wd,or
21997,2015,151359,clean,manual,4wd,or
28997,2014,86837,clean,automatic,4wd,or
5500,2004,126400,salvage,automatic,rwd,il
25900,2015,74379,clean,automatic,4wd,ms
21400,2015,95750,clean,manual,4wd,or
7000,2002,128200,salvage,automatic,4wd,or
27475,2015,54300,clean,automatic,4wd,mt
19995,2015,75833,clean,automatic,rwd,or
7800,2008,151000,clean,manual,rwd,or
24998,2014,56000,clean,automatic,4wd,or
24500,2014,113000,clean,automatic,4wd,wv
24500,2014,113000,clean,automatic,4wd,wv
16709,2011,101599,clean,automatic,rwd,tx
8995,2006,189295,clean,automatic,rwd,tx
14300,2012,79075,clean,manual,rwd,tx
18950,2017,50925,salvage,automatic,rwd,tx
1600,2000,180,salvage,automatic,fwd,fl
7995,2001,139520,clean,automatic,rwd,tx
25900,2015,74379,clean,automatic,4wd,ms
14400,2005,79556,clean,automatic,4wd,ny
5900,2004,92000,clean,manual,rwd,nm
14950,2016,92520,salvage,automatic,4wd,tx
23990,2016,51000,clean,automatic,rwd,tx
15450,2019,19494,salvage,automatic,4wd,mi
22600,2016,63102,clean,automatic,rwd,nc
25900,2017,12278,clean,automatic,4wd,ky
10955,2013,117835,clean,automatic,rwd,ky
11962,2013,93831,clean,automatic,rwd,ky
12999,2011,126378,clean,automatic,rwd,co
10997,2015,144650,clean,automatic,rwd,mi
18999,2010,103631,clean,automatic,4wd,co
20800,2010,97351,clean,automatic,4wd,ia
32928,2018,23376,clean,automatic,4wd,tx
20594,2012,108647,clean,automatic,4wd,co
29849,2017,88062,clean,automatic,4wd,mo
17950,2013,132808,clean,automatic,4wd,pa
8900,2005,120809,clean,manual,4wd,pa
18950,2018,48806,clean,automatic,4wd,tx
13950,2017,61773,salvage,automatic,4wd,tx
28999,2017,24396,clean,automatic,4wd,co
26594,2017,34600,clean,automatic,4wd,co
6995,2003,264849,clean,automatic,4wd,co
11495,2009,213911,clean,manual,4wd,co
12499,2004,129318,clean,automatic,4wd,co
26998,2014,34474,clean,automatic,4wd,co
8999,2003,150200,clean,automatic,4wd,pa
24500,2014,113000,clean,automatic,4wd,nc
27495,2017,22285,clean,automatic,rwd,tx
10300,2006,175889,clean,automatic,4wd,co
13950,2016,45989,salvage,automatic,rwd,tx
