price,year,odometer,title_status,transmission,drive,state
29990,2019,2324,clean,automatic,rwd,or
15450,2019,19494,salvage,automatic,4wd,mi
26995,2018,23500,rebuilt,automatic,4wd,az
22495,2017,17776,clean,automatic,rwd,tn
27952,2017,58679,clean,automatic,4wd,tn
29952,2016,48636,clean,automatic,4wd,tn
26795,2017,49407,clean,automatic,4wd,va
33999,2017,34835,clean,automatic,4wd,wa
32745,2018,13737,clean,automatic,4wd,tn
34950,2016,20810,clean,automatic,4wd,wa
29999,2016,60095,clean,automatic,4wd,wa
33450,2017,30891,clean,automatic,4wd,wa
27900,2017,70665,clean,automatic,4wd,ia
39997,2019,11941,clean,automatic,4wd,or
18950,2017,50925,salvage,automatic,rwd,tx
14950,2016,92520,salvage,automatic,4wd,tx
32000,2019,33000,lien,manual,4wd,or
32500,2017,7422,lien,automatic,4wd,wa
23990,2016,51000,clean,automatic,rwd,tx
22600,2016,63102,clean,automatic,rwd,nc
25900,2017,12278,clean,automatic,4wd,ky
32928,2018,23376,clean,automatic,4wd,tx
29849,2017,88062,clean,automatic,4wd,mo
18950,2018,48806,clean,automatic,4wd,tx
13950,2017,61773,salvage,automatic,4wd,tx
28999,2017,24396,clean,automatic,4wd,co
26594,2017,34600,clean,automatic,4wd,co
27495,2017,22285,clean,automatic,rwd,tx
13950,2016,45989,salvage,automatic,rwd,tx
13950,2019,8363,clean,automatic,4wd,tx
30995,2018,13315,clean,automatic,4wd,tx
31997,2017,27337,clean,automatic,4wd,co
26599,2017,48224,clean,automatic,4wd,co
28998,2017,71954,clean,automatic,4wd,co
24910,2016,109299,clean,automatic,4wd,tx
24707,2018,24814,clean,automatic,rwd,tx
24881,2016,50033,clean,automatic,rwd,tx
28922,2017,39693,clean,automatic,4wd,tx
35900,2019,9775,clean,automatic,4wd,ny
22979,2018,51682,clean,automatic,4wd,tx
30864,2018,30113,clean,automatic,4wd,tx
27900,2017,70665,clean,automatic,4wd,ia
29849,2017,88062,clean,automatic,4wd,mo
26947,2016,99176,clean,automatic,4wd,mt
31920,2019,3731,clean,automatic,rwd,tx
25825,2016,70855,clean,manual,4wd,mt
19995,2016,102166,clean,automatic,4wd,wi
37000,2018,25000,clean,automatic,4wd,pa
29502,2017,31687,clean,automatic,4wd,wa
42000,2019,14000,lien,automatic,4wd,co
26991,2019,22482,clean,automatic,rwd,ca
30978,2019,23371,clean,automatic,rwd,ca
22999,2017,62914,clean,automatic,4wd,oh
30995,2017,30300,clean,manual,4wd,pa
33000,2019,19000,clean,automatic,4wd,nc
32700,2018,16336,clean,automatic,4wd,ia
33995,2017,49572,clean,automatic,4wd,tx
29500,2017,21691,clean,other,4wd,nc
17500,2016,45671,clean,automatic,rwd,nc
32995,2019,21528,clean,automatic,rwd,tx
27980,2016,7568,clean,automatic,rwd,tx
22995,2018,24223,clean,automatic,rwd,ca
30777,2019,16237,clean,automatic,4wd,ct
28995,2017,38008,clean,automatic,4wd,wi
28995,2017,38008,clean,automatic,4wd,wi
28990,2017,51379,clean,manual,4wd,dc
26995,2017,22204,clean,automatic,4wd,vt
23995,2016,63093,clean,automatic,rwd,ca
24995,2017,92353,clean,automatic,rwd,ca
30777,2019,16237,clean,automatic,4wd,ri
26900,2017,30122,clean,automatic,4wd,ks
24526,2016,22734,clean,automatic,rwd,al
29675,2017,88062,clean,automatic,4wd,ks
33995,2017,59402,clean,manual,4wd,co
28999,2017,24396,clean,automatic,4wd,co
30599,2017,33246,clean,automatic,4wd,co
28598,2017,62028,clean,automatic,4wd,co
30598,2017,53634,clean,automatic,4wd,co
24512,2016,50033,clean,automatic,rwd,tx
26594,2017,34600,clean,automatic,4wd,co
26599,2017,48224,clean,automatic,4wd,co
32700,2018,35200,clean,automatic,4wd,ca
27777,2016,100013,clean,automatic,4wd,ca
29995,2016,31007,clean,automatic,4wd,dc
29995,2016,31007,clean,automatic,4wd,dc
29950,2019,26400,clean,automatic,4wd,sc
28500,2016,54800,clean,automatic,4wd,ks
24987,2017,27392,clean,automatic,rwd,al
30999,2017,22500,lien,automatic,4wd,dc
20200,2017,66000,clean,automatic,rwd,sc
29991,2017,27303,clean,automatic,4wd,tx
24995,2016,75938,clean,automatic,4wd,al
27950,2018,16422,clean,automatic,rwd,al
31950,2018,54254,clean,automatic,4wd,al
29691,2018,40889,clean,automatic,4wd,tx
29691,2018,40889,clean,automatic,4wd,tx
29952,2017,38483,clean,automatic,4wd,tx
27400,2016,66566,clean,automatic,4wd,ks
29370,2016,66038,clean,manual,4wd,al
22490,2017,42070,clean,automatic,rwd,tx
28900,2017,58538,clean,automatic,4wd,ak
34500,2019,18326,clean,automatic,4wd,ak
26896,2019,7286,clean,automatic,4wd,me
29995,2017,22443,clean,automatic,rwd,fl
29675,2017,88062,clean,automatic,4wd,ks
20952,2017,34629,clean,automatic,rwd,fl
39999,2019,2795,clean,automatic,4wd,ak
31999,2016,48726,clean,automatic,4wd,ak
29995,2016,88251,clean,automatic,4wd,ks
34000,2017,31000,clean,automatic,4wd,ak
21977,2017,39468,clean,automatic,rwd,fl
23903,2016,27125,clean,automatic,rwd,fl
22490,2017,42070,clean,automatic,rwd,tx
28999,2017,24396,clean,automatic,4wd,co
30599,2017,33246,clean,automatic,4wd,co
28598,2017,62028,clean,automatic,4wd,co
30598,2017,53634,clean,automatic,4wd,co
26594,2017,34600,clean,automatic,4wd,co
26599,2017,48224,clean,automatic,4wd,co
24895,2016,89956,clean,automatic,4wd,fl
27777,2016,100013,clean,automatic,4wd,ca
32700,2018,35200,clean,automatic,4wd,ca
27975,2018,14738,clean,automatic,4wd,ri
32700,2018,35200,clean,automatic,4wd,ca
27777,2016,100013,clean,automatic,4wd,ca
20000,2016,50000,clean,automatic,fwd,az
27952,2016,59711,clean,automatic,4wd,az
23795,2018,8204,clean,automatic,rwd,fl
28000,2018,15261,clean,automatic,4wd,fl
30777,2019,16237,clean,automatic,4wd,ct
17500,2016,70040,clean,automatic,rwd,az
18500,2016,51602,clean,automatic,rwd,az
18995,2017,50209,clean,automatic,rwd,az
29999,2016,60095,clean,automatic,4wd,wa
29995,2018,2875,rebuilt,automatic,4wd,wa
29995,2017,22443,clean,automatic,rwd,fl
32995,2017,35721,clean,automatic,4wd,ca
42000,2019,9000,clean,manual,4wd,ca
29995,2017,22443,clean,automatic,rwd,fl
31999,2018,20497,clean,automatic,4wd,wa
25998,2017,72080,clean,automatic,fwd,fl
24743,2016,46644,clean,automatic,rwd,ga
30777,2019,16237,clean,automatic,4wd,me
29000,2017,12000,clean,automatic,rwd,az
30790,2017,54903,clean,automatic,4wd,id
26952,2018,33609,clean,automatic,rwd,fl
16250,2016,85795,clean,automatic,rwd,fl
25998,2017,72080,clean,automatic,fwd,fl
24998,2016,83872,clean,automatic,fwd,fl
21952,2018,10283,clean,automatic,rwd,fl
28900,2017,35015,lien,manual,4wd,ma
33000,2018,27400,clean,automatic,4wd,nj
25888,2016,50169,clean,automatic,rwd,fl
25998,2017,72080,clean,automatic,fwd,fl
24998,2016,83872,clean,automatic,fwd,fl
28999,2017,65254,clean,manual,4wd,co
30777,2019,16237,clean,automatic,4wd,ma
22490,2017,42070,clean,automatic,rwd,tx
28950,2019,12283,salvage,automatic,4wd,ut
33895,2019,12858,clean,automatic,4wd,ut
